  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
    7.9460       0.4950           1.4180        0.5000     1.000000     0.7422366D-03     0.0000000D+00    -0.1226099D-03
    8.0390       0.5880           1.8830        0.7500     1.000000     0.3448609D-02     0.0000000D+00     0.1099476D-03
    8.1090       0.6580           2.2600        1.0000     1.000000    -0.1082173D-03     0.6117174D+00     0.1727008D-03
    8.1700       0.7190           2.6040        1.2500     1.000000    -0.5996994D-02    -0.6712602D-01     0.1284425D-03
    8.2270       0.7760           2.9270        1.5000     1.000000    -0.3679473D-02    -0.3715810D+00     0.1610253D-04
    8.2800       0.8290           3.2330        1.7500     1.000000     0.1406923D-03    -0.4486076D+00    -0.1221760D-03
    8.3290       0.8780           3.5280        2.0000     1.000000    -0.2606388D-02    -0.4008463D+00    -0.2438222D-03
    8.3760       0.9250           3.8110        2.2500     1.000000    -0.2996137D-03    -0.2806930D+00    -0.3147559D-03
    8.4210       0.9700           4.0860        2.5000     1.000000     0.2312661D-02    -0.1287216D+00    -0.2973409D-03
    8.4630       1.0120           4.3500        2.7500     1.000000     0.1320784D-02     0.1693414D-01    -0.1626911D-03
    8.5030       1.0520           4.6040        3.0000     1.000000     0.1358961D-02     0.1468072D+00     0.1139109D-03
    8.5420       1.0910           4.8510        3.2500     1.000000     0.5488198D-02     0.2588699D+00     0.5652652D-03
    8.5790       1.1280           5.0950        3.5000     1.000000     0.3019510D-02     0.3370987D+00     0.1200158D-02
    8.6100       1.1590           5.2980        3.7500     1.001390     0.4970125D-02     0.3467034D+00     0.5277892D-03
    8.6440       1.1930           5.5290        4.0000     1.003580     0.1623555D-02     0.3626378D+00    -0.6473362D-03
    8.6780       1.2270           5.7600        4.2500     1.005000     0.1467193D-02     0.3574937D+00    -0.7781922D-03
    8.7110       1.2600           5.9870        4.5000     1.006510     0.1784218D-02     0.3248131D+00    -0.7373825D-03
    8.7430       1.2920           6.2130        4.7500     1.007830    -0.4962330D-03     0.2673740D+00    -0.2352928D-03
    8.7750       1.3240           6.4410        5.0000     1.008940    -0.1298365D-02     0.1940295D+00     0.8272827D-03
    8.8060       1.3550           6.6670        5.2500     1.011230    -0.3638791D-02     0.1028252D+00    -0.3012928D-03
    8.8370       1.3860           6.8940        5.5000     1.012990    -0.3214426D-02     0.3162893D-02     0.5420667D-04
    8.8670       1.4160           7.1190        5.7500     1.014810    -0.4280099D-02    -0.1051136D+00     0.1917452D-03
    8.8970       1.4460           7.3470        6.0000     1.016610    -0.4289215D-02    -0.2121031D+00     0.2662811D-03
    8.9260       1.4750           7.5770        6.2500     1.018270    -0.9770689D-02    -0.3172496D+00     0.3627996D-03
    8.9560       1.5050           7.8070        6.5000     1.019900    -0.2942121D-02    -0.4042239D+00     0.5355789D-03
    8.9850       1.5340           8.0390        6.7500     1.022550    -0.1290178D-02    -0.4771085D+00    -0.3263570D-03
    9.0130       1.5620           8.2730        7.0000     1.024730    -0.5001043D-02    -0.5309719D+00    -0.6667236D-03
    9.0410       1.5900           8.5070        7.2500     1.026970    -0.3803877D-02    -0.5528810D+00    -0.8722875D-03
    9.0690       1.6180           8.7430        7.5000     1.029250     0.6080767D-03    -0.5350460D+00    -0.8254105D-03
    9.0970       1.6460           8.9800        7.7500     1.031550     0.9555465D-02    -0.4690734D+00    -0.3935281D-03
    9.1240       1.6730           9.2160        8.0000     1.033890     0.1627438D-01    -0.3603818D+00     0.4035338D-03
    9.1510       1.7000           9.4550        8.2500     1.036220     0.2576359D-01    -0.1899687D+00     0.1833111D-02
    9.1770       1.7260           9.7120        8.5000     1.040080     0.1380569D-01     0.3171746D-01     0.2312714D-02
    9.2020       1.7510          10.0080        8.7500     1.047190    -0.4096822D-01     0.3052127D+00     0.1695793D-03
    9.2270       1.7760          10.3220        9.0000     1.055120    -0.3654593D+00     0.6554284D+00    -0.1882150D-02
    9.2510       1.8000          10.6390        9.2500     1.061900     0.1134258D+01     0.1061628D+01    -0.2031098D-02
    9.2740       1.8230          10.9480        9.5000     1.067660    -0.1560204D+01     0.1521313D+01    -0.4039139D-03
    9.2960       1.8450          11.2510        9.7500     1.073810     0.3591059D+01     0.2030832D+01     0.1573212D-02
    9.3120       1.8610          25.7910       10.0000     1.466310    -0.2757374D+01     0.2386514D+01    -0.1466310D+01
    9.3130       1.8620          25.9400       10.2500     1.466500    -0.2374061D+01     0.2175928D+01    -0.1466500D+01
    8.4260       0.9750           4.1170       10.5000     1.000000    -0.1145281D+07    -0.8082287D+01    -0.1000000D+01
    9.3120       1.8610          25.8390       10.7500     1.466400    -0.2805374D+01     0.1636514D+01    -0.1466400D+01
    9.3130       1.8620          25.8810       11.0000     1.466460    -0.2315061D+01     0.1425928D+01    -0.1466460D+01
    8.4590       1.0080           4.3250       11.2500     1.000000    -0.9780711D+06    -0.8521112D+01    -0.1000000D+01
    8.4700       1.0190           4.3910       11.5000     1.000000    -0.9266309D+06    -0.8666430D+01    -0.1000000D+01
    8.4800       1.0290           4.4580       11.7500     1.000000    -0.8816511D+06    -0.8821234D+01    -0.1000000D+01
    8.4910       1.0400           4.5230       12.0000     1.000000    -0.8340843D+06    -0.8966713D+01    -0.1000000D+01
    8.5010       1.0500           4.5880       12.2500     1.000000    -0.7925346D+06    -0.9122065D+01    -0.1000000D+01
    8.5110       1.0600           4.6530       12.5000     1.000000    -0.7525552D+06    -0.9277941D+01    -0.1000000D+01
    8.5210       1.0700           4.7180       12.7500     1.000000    -0.7141060D+06    -0.9434499D+01    -0.1000000D+01
    8.5310       1.0800           4.7830       13.0000     1.000000    -0.6771475D+06    -0.9591885D+01    -0.1000000D+01
    8.5410       1.0900           4.8440       13.2500     1.000000    -0.6416408D+06    -0.9750237D+01    -0.1000000D+01
    8.5500       1.0990           4.9060       13.5000     1.000000    -0.6108942D+06    -0.9918684D+01    -0.1000000D+01
    9.3140       1.8630          26.0000       13.7500     1.466700    -0.1907760D+01    -0.1284470D+01    -0.1466700D+01
    9.3200       1.8690          26.5880       14.0000     1.467080     0.4399756D+00    -0.1292894D+01    -0.1467080D+01
    9.3260       1.8750          27.1580       14.2500     1.467070     0.2129999D+01    -0.1294418D+01    -0.1467070D+01
    9.3320       1.8810          27.7050       14.5000     1.466740     0.2705866D+01    -0.1288901D+01    -0.1466740D+01
    9.3380       1.8870          28.3290       14.7500     1.466030     0.1539253D+01    -0.1276203D+01    -0.1466030D+01
    9.3450       1.8940          28.9080       15.0000     1.465090    -0.2575552D+01    -0.1210457D+01    -0.1465090D+01
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 21.11400000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
    8.0630       0.3130           1.6050        0.5000     1.000000     0.1270154D-01     0.1603306D-02     0.0000000D+00
    8.1320       0.3820           2.0490        0.7500     1.000000    -0.1325632D-01    -0.5019296D-02     0.0000000D+00
    8.1920       0.4420           2.4380        1.0000     1.000000    -0.1150025D-01     0.1246569D-02     0.0000000D+00
    8.2460       0.4960           2.7940        1.2500     1.000000    -0.3473567D-02     0.5551016D-02     0.0000000D+00
    8.2950       0.5450           3.1270        1.5000     1.000000    -0.1270004D-02     0.1631553D-02     0.0000000D+00
    8.3410       0.5910           3.4370        1.7500     1.000000     0.4609550D-02    -0.4061982D-02     0.0000000D+00
    8.3850       0.6350           3.7320        2.0000     1.000000     0.1115266D-01    -0.5772052D-02     0.0000000D+00
    8.4270       0.6770           4.0170        2.2500     1.000000     0.1268539D-01    -0.1165170D-02     0.0000000D+00
    8.4670       0.7170           4.2920        2.5000     1.000000     0.9319442D-02     0.1271248D-01     0.0000000D+00
    8.4990       0.7490           4.5150        2.7500     1.001400     0.3041729D-02    -0.6726420D-02    -0.2509872D-01
    8.5360       0.7860           4.7680        3.0000     1.001830     0.6373584D-03     0.7827233D-01     0.2027790D-02
    8.5720       0.8220           5.0150        3.2500     1.002250    -0.1547452D-02    -0.1009080D-01     0.1522275D-01
    8.6060       0.8560           5.2580        3.5000     1.002680    -0.1123782D-01    -0.5462350D-01     0.1895648D-01
    8.6400       0.8900           5.4970        3.7500     1.003120    -0.1348466D-01    -0.6099978D-01     0.1697085D-01
    8.6730       0.9230           5.7310        4.0000     1.005090    -0.1284283D-01    -0.4856385D-01     0.1027796D-01
    8.7050       0.9550           5.9640        4.2500     1.006080    -0.1208449D-01    -0.2781693D-01     0.3466589D-02
    8.7370       0.9870           6.1920        4.5000     1.007090     0.1622293D-02     0.2499683D-02    -0.3119540D-02
    8.7670       1.0170           6.4250        4.7500     1.007970     0.4222977D-02     0.1954765D-01    -0.7933840D-02
    8.7980       1.0480           6.6690        5.0000     1.012320     0.1480029D-01     0.4657189D-01    -0.1417655D-01
    8.8270       1.0770           6.9240        5.2500     1.016790     0.1010179D-01     0.5488010D-01    -0.1784435D-01
