26.08.95 20.00  1.1208
26.08.95 20.30  0.9588
26.08.95 21.00  0.8421
26.08.95 21.30  0.9578
26.08.95 22.00  1.652
26.08.95 22.30  1.3714
26.08.95 23.00  1.17
26.08.95 23.30  0.9871
27.08.95 00.00  0.8954
27.08.95 00.30  0.8414
27.08.95 01.00  0.788
27.08.95 01.30  0.7354
27.08.95 02.00  0.7071
27.08.95 02.30  0.6831
27.08.95 03.00  0.6595
27.08.95 03.30  0.6386
27.08.95 04.00  0.6299
27.08.95 04.30  0.6213
27.08.95 05.00  0.6127
27.08.95 05.30  0.6044
27.08.95 06.00  0.5961
27.08.95 06.30  0.5878
27.08.95 07.00  0.5794
27.08.95 07.30  0.5711
27.08.95 08.00  0.5628
27.08.95 08.30  0.5545
27.08.95 09.00  0.565
27.08.95 09.30  0.6272
27.08.95 10.00  0.6341
27.08.95 10.30  0.656
27.08.95 11.00  0.7947
27.08.95 11.30  0.7884
27.08.95 12.00  0.7574
27.08.95 12.30  0.7302
27.08.95 13.00  0.766
27.08.95 13.30  0.8028
27.08.95 14.00  0.8382
27.08.95 14.30  0.8081
27.08.95 15.00  0.778
27.08.95 15.30  0.7485
27.08.95 16.00  0.7445
27.08.95 16.30  0.7411
27.08.95 17.00  0.7503
27.08.95 17.30  0.8347
27.08.95 18.00  0.8274
27.08.95 18.30  0.8201
27.08.95 19.00  1.6239
27.08.95 19.30  1.325
27.08.95 20.00  1.1061
27.08.95 20.30  1.0158
27.08.95 21.00  1.4187
27.08.95 21.30  1.089
27.08.95 22.00  1.1816
27.08.95 22.30  1.4062
27.08.95 23.00  1.2257
27.08.95 23.30  1.1123
28.08.95 00.00  1.036
28.08.95 00.30  0.9714
28.08.95 01.00  0.977
28.08.95 01.30  1.1204
28.08.95 02.00  1.5532
28.08.95 02.30  1.5447
28.08.95 03.00  2.0639
28.08.95 03.30  2.5029
28.08.95 04.00  2.8287
28.08.95 04.30  3.1703
28.08.95 05.00  3.358
28.08.95 05.30  3.1869
28.08.95 06.00  3.0594
28.08.95 06.30  2.779
28.08.95 07.00  2.5086
28.08.95 07.30  2.2384
28.08.95 08.00  2.0057
28.08.95 08.30  1.8939
28.08.95 09.00  1.7821
28.08.95 09.30  1.6773
28.08.95 10.00  1.6019
28.08.95 10.30  1.5311
28.08.95 11.00  1.4655
28.08.95 11.30  1.3999
28.08.95 12.00  1.3343
28.08.95 12.30  1.498
28.08.95 13.00  1.5118
28.08.95 13.30  1.393
28.08.95 14.00  1.4005
28.08.95 14.30  1.4514
28.08.95 15.00  1.3886
28.08.95 15.30  1.3259
28.08.95 16.00  1.4775
28.08.95 16.30  1.5024
28.08.95 17.00  1.9728
28.08.95 17.30  1.9951
28.08.95 18.00  1.8395
28.08.95 18.30  1.7161
28.08.95 19.00  1.7183
28.08.95 19.30  1.7988
28.08.95 20.00  1.7021
28.08.95 20.30  1.5946
28.08.95 21.00  1.4911
28.08.95 21.30  1.4507
28.08.95 22.00  1.4103
28.08.95 22.30  1.3699
28.08.95 23.00  1.3295
28.08.95 23.30  1.2891
29.08.95 00.00  1.2488
29.08.95 00.30  1.2084
29.08.95 01.00  1.168
29.08.95 01.30  1.3341
29.08.95 02.00  1.2998
29.08.95 02.30  1.2362
29.08.95 03.00  1.3414
29.08.95 03.30  1.2797
29.08.95 04.00  1.1637
29.08.95 04.30  1.2057
29.08.95 05.00  1.2507
29.08.95 05.30  1.2742
29.08.95 06.00  1.2066
29.08.95 06.30  1.1389
29.08.95 07.00  1.0822
29.08.95 07.30  1.0869
29.08.95 08.00  1.0916
29.08.95 08.30  1.0964
29.08.95 09.00  1.1012
29.08.95 09.30  1.202
29.08.95 10.00  1.102
29.08.95 10.30  1.1489
29.08.95 11.00  1.1958
29.08.95 11.30  1.2477
29.08.95 12.00  1.4027
29.08.95 12.30  1.3207
29.08.95 13.00  1.4336
29.08.95 13.30  1.5782
29.08.95 14.00  1.6829
29.08.95 14.30  1.6094
29.08.95 15.00  1.5812
29.08.95 15.30  1.6425
29.08.95 16.00  1.6781
29.08.95 16.30  1.5934
29.08.95 17.00  1.5403
29.08.95 17.30  1.5207
29.08.95 18.00  1.501
29.08.95 18.30  1.5526
29.08.95 19.00  1.5851
29.08.95 19.30  1.5244
29.08.95 20.00  1.4673
29.08.95 20.30  1.4101
29.08.95 21.00  1.4563
29.08.95 21.30  1.4503
29.08.95 22.00  1.4181
29.08.95 22.30  1.3591
29.08.95 23.00  1.3002
29.08.95 23.30  1.2498
30.08.95 00.00  1.2346
30.08.95 00.30  1.2193
30.08.95 01.00  1.2041
30.08.95 01.30  1.1889
30.08.95 02.00  1.1736
30.08.95 02.30  1.1584
30.08.95 03.00  1.1431
30.08.95 03.30  1.1279
30.08.95 04.00  1.1128
30.08.95 04.30  1.0979
30.08.95 05.00  1.0831
30.08.95 05.30  1.0683
30.08.95 06.00  1.0535
30.08.95 06.30  1.0387
30.08.95 07.00  1.0239
30.08.95 07.30  1.0092
30.08.95 08.00  0.996
30.08.95 08.30  0.9828
30.08.95 09.00  0.9697
30.08.95 09.30  0.9565
30.08.95 10.00  0.9434
30.08.95 10.30  0.9302
30.08.95 11.00  0.9169
30.08.95 11.30  0.9035
30.08.95 12.00  0.8901
30.08.95 12.30  0.8717
30.08.95 13.00  0.8349
30.08.95 13.30  0.8248
30.08.95 14.00  0.8201
30.08.95 14.30  0.8156
30.08.95 15.00  0.8109
30.08.95 15.30  0.8063
