FLUSS_KM	RW	HW	HOEHE
41.9	3929137.508	773955.905	366.024
41.9	3929134.801	773955.777	366.015
41.9	3929134.049	773955.741	365.873
41.9	3929132.205	773955.653	365.511
41.9	3929130.33	773955.564	365.142
41.9	3929129.607	773955.53	365.005
41.9	3929128.916	773955.497	364.844
41.9	3929127.322	773955.421	364.463
41.9	3929125.694	773955.344	364.074
41.9	3929125.042	773955.313	363.921
41.9	3929124.463	773955.286	363.801
41.9	3929122.904	773955.211	363.483
41.9	3929121.321	773955.136	363.161
41.9	3929120.766	773955.11	363.046
41.9	3929119.924	773955.07	362.873
41.9	3929117.287	773954.945	362.344
41.9	3929114.568	773954.815	361.797
41.9	3929113.803	773954.779	361.641
41.9	3929113.185	773954.75	361.613
41.9	3929111.132	773954.652	361.51
41.9	3929109.044	773954.553	361.405
41.9	3929108.462	773954.525	361.379
41.9	3929107.925	773954.5	361.344
41.9	3929105.901	773954.404	361.211
41.9	3929103.821	773954.305	361.075
41.9	3929103.338	773954.282	361.044
41.9	3929102.751	773954.254	361.067
41.9	3929100.179	773954.132	361.17
41.9	3929097.533	773954.006	361.277
41.9	3929097.019	773953.982	361.297
41.9	3929096.863	773953.974	361.503
41.9	3929096.018	773953.934	362.612
41.9	3929095.155	773953.893	363.746
41.9	3929095.017	773953.887	363.929
41.9	3929094.42	773953.858	364.036
41.9	3929090.513	773953.673	364.732
41.9	3929090.513	773953.673	364.732
41.9	3929086.08	773953.462	365.523
41.9	3929086.08	773953.462	365.523
41.9	3929086.008	773953.459	365.536
41.9	3929085.933	773953.455	365.542
41.9	3929083.244	773953.328	365.775
41.9	3929079.771	773953.163	366.076
41.9	3929073.795	773952.879	366.595
41.9	3929073.535	773952.866	366.614
41.9	3929073.336	773952.857	366.619
41.9	3929067.879	773952.598	366.737
41.9	3929062.566	773952.345	366.853
41.9	3929062.228	773952.329	366.861
41.9	3929061.865	773952.312	366.868
41.9	3929056.3	773952.048	366.975
41.9	3929050.735	773951.783	367.083
41.9	3929050.371	773951.766	367.089
41.9	3929050.17	773951.757	367.161
41.9	3929047.182	773951.614	368.221
41.9	3929044.084	773951.467	369.318
41.9	3929043.995	773951.463	369.35
41.9	3929043.889	773951.458	369.391
41.9	3929039.937	773951.27	370.865
41.9	3929039.621	773951.255	370.983
41.9	3929035.971	773951.082	372.344
41.9	3929035.872	773951.077	372.38
41.9	3929035.698	773951.069	372.445
41.9	3929029.088	773950.755	374.9
42	3929386.056	773853.098	370.824
42	3929385.062	773853.978	370.46
42	3929380.978	773857.593	369.113
42	3929379.224	773859.146	368.534
42	3929376.163	773861.855	367.534
42	3929375.755	773862.216	367.391
42	3929374.218	773863.576	367.378
42	3929365.446	773871.341	367.347
42	3929360.741	773875.505	367.33
42	3929354.536	773880.998	367.241
42	3929348.297	773886.52	367.228
42	3929342.166	773891.947	367.216
42	3929338.101	773895.545	367.223
42	3929323.5	773908.468	367.248
42	3929322.245	773909.578	367.253
42	3929321.26	773910.45	367.249
42	3929316.643	773914.537	367.278
42	3929305.689	773924.232	367.345
42	3929303.565	773926.112	367.358
42	3929300.15	773929.136	367.382
42	3929289.631	773938.446	367.454
42	3929285.398	773942.192	367.462
42	3929278.815	773948.019	367.476
42	3929277.416	773949.258	367.479
42	3929270.838	773955.08	367.456
42	3929265.52	773959.788	367.417
42	3929261.579	773963.275	367.388
42	3929258.108	773966.348	367.363
42	3929256.571	773967.708	367.352
42	3929255.228	773968.897	367.336
42	3929253.496	773970.43	367.315
42	3929244.15	773978.702	367.15
42	3929243.384	773979.38	367.136
42	3929238.493	773983.709	367.049
42	3929237.227	773984.83	367.027
42	3929236.676	773985.318	367.025
42	3929229.728	773991.468	367.004
42	3929225.48	773995.227	366.991
42	3929220.918	773999.266	366.978
42	3929216.122	774003.511	366.707
42	3929210.598	774008.4	366.396
42	3929209.001	774009.814	366.487
42	3929207.598	774011.056	366.567
42	3929207.148	774011.454	366.592
42	3929205.234	774013.148	366.702
42	3929204.394	774013.891	366.75
42	3929204.166	774014.093	366.763
42	3929200.339	774017.481	366.982
42	3929197.859	774019.676	367.011
42	3929195.097	774022.12	367.03
42	3929188.975	774027.539	367.069
42	3929186.17	774030.022	367.087
42	3929182.345	774033.407	367.086
42	3929179.844	774035.621	367.085
