       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    45.6000    n    20.000   357.376   363.573   363.573   363.476   364.480   363.476   0.088    0.05     0.000    20.006     0.000  0.0000  0.0528  0.2044     0.000   226.634     0.086     0.000    50.764     1.785  -999.999  -999.999  -999.999  -999.999  -999.999   1.00032   1.00065   0.00000
    45.7000    n    20.000   358.597   363.573   363.573   363.488   363.488   363.553   0.082    0.05     0.003    20.020     0.000  0.2019  0.0591  0.5159     0.459   243.350     0.012     5.812    72.975     1.224  -999.999  -999.999  -999.999  -999.999  -999.999   1.00161   1.00335   0.00000
    45.8000    n    20.000   358.910   363.573   363.573   362.508   362.508   363.358   0.095    0.08     0.180    19.848     0.005  0.1623  0.0613  0.1926     9.482   199.951     0.540    29.939    59.133     5.026  -999.999  -999.999  -999.999  -999.999  -999.999   1.03279   1.07301   0.00000
    45.9000    n    20.000   359.301   363.573   363.574   362.010   362.010   363.252   0.077    0.06     5.998    14.040     0.014  0.0652  0.0668  0.1528    89.775   168.704     0.878    49.611    56.831     3.786  -999.999  -999.999  -999.999  -999.999  -999.999   1.03068   1.07730   0.00000
    46.0000    n    20.000   359.857   363.574   363.574   361.418   361.418   362.276   0.067    0.04     6.151    13.468     0.434  0.0579  0.0637  0.0994    94.017   189.039    13.984    42.347    63.290    16.665  -999.999  -999.999  -999.999  -999.999  -999.999   1.03860   1.09865   0.00000
    46.0160    n    20.000   359.723   363.574   363.574   361.314   361.314   362.384   0.063    0.03     5.819    13.918     0.264  0.0590  0.0571  0.1288    99.709   206.702    12.618    44.089    68.710    20.373  -999.999  -999.999  -999.999  -999.999  -999.999   1.04169   1.10384   0.00000
    46.1000    n    20.000   358.505   363.574   363.574   361.184   361.184   362.186   0.064    0.04     6.722    12.501     0.800  0.0574  0.0641  0.1051   105.227   178.207    27.069    41.210    48.824    27.766  -999.999  -999.999  -999.999  -999.999  -999.999   1.05038   1.12989   0.00000
    46.2000    n    20.000   358.194   363.574   363.574   362.059   362.059   362.080   0.054    0.03     5.018    14.380     0.626  0.0645  0.0538  0.0985   116.105   226.700    26.313    51.459    52.394    25.336  -999.999  -999.999  -999.999  -999.999  -999.999   1.06768   1.18184   0.00000
    46.3000    n    20.000   359.020   363.574   363.574   360.921   362.163   360.921   0.054    0.02     9.319    10.128     0.601  0.0546  0.0579  0.0740   172.997   181.330    18.994    58.514    49.835    13.388  -999.999  -999.999  -999.999  -999.999  -999.999   1.03136   1.08200   0.00000
    46.4000    n    20.000   359.094   363.574   363.574   361.385   362.240   361.385   0.055    0.02     8.918    10.724     0.358  0.0569  0.0576  0.0771   163.161   184.141    14.111    56.820    52.311    16.825  -999.999  -999.999  -999.999  -999.999  -999.999   1.03332   1.08544   0.00000
    46.5000    n    20.000   359.172   363.574   363.574   361.417   362.583   361.417   0.064    0.03     8.272    11.462     0.317  0.0572  0.0582  0.0722   136.848   167.339     9.045    53.096    46.649     8.243  -999.999  -999.999  -999.999  -999.999  -999.999   1.03249   1.08399   0.00000
    46.6000    n    20.000   359.309   363.574   363.574   362.296   363.097   362.296   0.076    0.05     4.798    13.983     1.219  0.0578  0.0574  0.0789    74.855   162.723    24.480    42.816    50.058    16.755  -999.999  -999.999  -999.999  -999.999  -999.999   1.04852   1.12754   0.00000
    46.7000    n    20.000   361.199   363.574   363.575   362.782   362.908   362.782   0.144    0.26     1.302    13.825     4.872  0.1037  0.0767  0.0829    17.591    84.340    36.958    34.292    44.046    28.397  -999.999  -999.999  -999.999  -999.999  -999.999   1.06064   1.15673   0.00000
    46.8000    n    20.000   362.984   363.633   363.651   363.328   363.652   363.328   0.584    6.60     0.000    18.584     1.416  0.0000  0.1430  0.1715     0.000    30.582     3.683     0.000    57.948    14.606  -999.999  -999.999  -999.999  -999.999  -999.999   1.01486   1.03946   0.00000
    46.9000    n    20.000   362.748   363.727   363.737   363.703   363.886   363.703   0.438    3.29     0.000    17.755     2.259  0.0000  0.1257  0.1442     0.000    38.777     6.842     0.000    51.120    15.089  -999.999  -999.999  -999.999  -999.999  -999.999   1.01372   1.03618   0.00000
    47.0000    n    20.000   362.535   363.763   363.769   363.410   363.936   363.410   0.328    1.74     0.000    16.896     3.106  0.0000  0.1105  0.1480     0.000    47.605    13.430     0.000    51.821    25.908  -999.999  -999.999  -999.999  -999.999  -999.999   1.02776   1.07480   0.00000
    47.1000    n    20.000   362.399   363.781   363.788   363.730   364.023   363.730   0.362    1.63     0.000    20.000     0.000  0.0000  0.0998  0.1774     0.000    55.256     0.010     0.000    55.882     0.404  -999.999  -999.999  -999.999  -999.999  -999.999   1.00014   1.00031   0.00000
    47.2000    n    20.000   362.532   363.798   363.804   363.336   364.211   363.336   0.344    1.51     0.000    19.806     0.196  0.0000  0.0976  0.1437     0.000    56.214     1.982     0.000    54.021    16.553  -999.999  -999.999  -999.999  -999.999  -999.999   1.01819   1.04168   0.00000
    47.3000    n    20.000   362.510   363.814   363.822   363.741   364.359   363.741   0.404    1.97     0.000    19.984     0.016  0.0000  0.0958  0.1608     0.000    49.251     0.263     0.000    48.089     7.228  -999.999  -999.999  -999.999  -999.999  -999.999   1.00389   1.00836   0.00000
