     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
    41.8000     47   228.534   363.914   0.0844074     0.718
    41.8000     48   228.792   363.852   0.0815039     0.718
    41.8000     49   229.863   363.484   0.0815039     0.718
    41.8000     50   230.926   363.118   0.0815039     0.718
    41.8000     51   231.191   363.054   0.0815039     0.718
    41.8000     52   231.698   362.977   0.0815039     0.718
    41.8000     53   234.306   362.641   0.0815039     0.718
    41.8000     54   236.948   362.301   0.0815039     0.718
    41.8000     55   237.419   362.231   0.0815039     0.718
    41.8000     56   237.814   362.231   0.0815039     0.718
    41.8000     57   240.015   362.231   0.0815039     0.718
    41.8000     58   242.233   362.231   0.0815039     0.718
    41.8000     59   242.611   362.231   0.0815039     0.718
    41.8000     60   242.879   362.219   0.0815039     0.718
    41.8000     61   244.636   362.180   0.0815039     0.718
    41.8000     62   246.397   362.141   0.0815039     0.718
    41.8000     63   246.662   362.130   0.0815039     0.718
    41.8000     64   247.027   362.129   0.0815039     0.718
    41.8000     65   249.138   362.082   0.0815039     0.718
    41.8000     66   251.238   362.035   0.0815039     0.718
    41.8000     67   251.613   362.035   0.0815039     0.718
    41.8000     68   251.895   362.170   0.0815039     0.718
    41.8000     69   253.802   363.009   0.0815039     0.718
    41.8000     70   255.734   363.860   0.0873354     0.718
    41.8000     71   255.992   363.984   0.0873354     0.718
    41.8000     72   256.357   364.091   0.0873354     0.718
    41.8000     73   258.369   364.709   0.0873354     0.000
    41.8000     74   260.375   365.324   0.0873354     0.000
    41.8000     75   260.751   365.433   0.0873354     0.000
    41.8000     76   262.070   365.540   0.0000000     0.000
    41.8000     77   267.542   365.962   0.0000000     0.000
    41.8000     78   270.147   366.163   0.0000000     0.000
    41.8000     79   274.157   366.496   0.0000000     0.000
    41.8000     80   279.297   366.649   0.0000000     0.000
    41.8000     81   281.602   366.723   0.0000000     0.000
    41.8000     82   284.197   366.807   0.0000000     0.000
    41.8000     83   289.066   366.953   0.0000000     0.000
    41.8000     84   293.597   366.983   0.0000000     0.000
    41.8000     85   296.300   366.991   0.0000000     0.000
    41.8000     86   299.054   366.999   0.0000000     0.000
    41.8000     87   303.536   367.028   0.0000000     0.000
    41.8000     88   305.517   367.759   0.0000000     0.000
    41.8000     89   306.662   368.215   0.0000000     0.000
    41.8000     90   307.829   368.680   0.0000000     0.000
    41.8000     91   309.784   369.401   0.0000000     0.000
    41.8000     92   311.985   370.297   0.0000000     0.000
    41.8000     93   313.442   370.888   0.0000000     0.000
    41.8000     94   314.943   371.496   0.0000000     0.000
    41.8000     95   317.100   372.375   0.0000000     0.000
    41.8000     96   320.896   373.823   0.0000000     0.000
    41.8000     97   323.570   374.895   0.0000000     0.000
    41.8000     98   326.359   376.012   0.0000000     0.000
    41.9000      1     0.000   370.906   0.0000000     0.000
    41.9000      2     5.644   369.609   0.0000000     0.000
    41.9000      3     7.606   369.180   0.0000000     0.000
