     PROFIL  PUNKT     X [m]     H [m]  LAMBDA [-]   V [m/s]
     0.5139      9    14.287     5.130   0.0681773     0.244
     0.5139     10    18.644     5.331   0.0681773     0.244
     0.5139     11    29.163     6.547   0.0729226     0.088
     0.5139     12    29.619     6.859   0.0000000     0.000
     0.5139     13    30.751     8.107   0.0932514     0.088
     0.6310      1   -17.860     7.084   0.0000000     0.000
     0.6310      2    -2.068     7.084   0.0000000     0.000
     0.6310      3     0.125     7.084   0.0705534     1.143
     0.6310      4     0.125     6.772   0.0705534     1.143
     0.6310      5     1.589     6.170   0.0705534     1.143
     0.6310      6     1.964     5.732   0.0705534     1.143
     0.6310      7     2.943     5.588   0.0705534     1.143
     0.6310      8     3.631     5.355   0.0705534     1.143
     0.6310      9     4.710     5.556   0.0705534     1.143
     0.6310     10     7.315     6.772   0.0705534     1.143
     0.6310     11     7.315     7.084   0.0729226     0.220
     0.6310     12     7.770     7.084   0.0000000     0.000
     0.6310     13     8.902     8.332   0.0932514     0.220
     0.6320      1   -17.860     7.084   0.0000000     0.000
     0.6320      2    -2.068     7.084   0.0000000     0.000
     0.6320      3     0.125     7.084   0.0695680     1.079
     0.6320      4     0.125     6.772   0.0695680     1.079
     0.6320      5     1.589     6.170   0.0695680     1.079
     0.6320      6     1.964     5.732   0.0695680     1.079
     0.6320      7     2.943     5.588   0.0695680     1.079
     0.6320      8     3.631     5.355   0.0695680     1.079
     0.6320      9     4.710     5.556   0.0695680     1.079
     0.6320     10     7.315     6.772   0.0695680     1.079
     0.6320     11     7.315     7.084   0.0729226     0.249
     0.6320     12     7.770     7.084   0.0000000     0.000
     0.6320     13     8.902     8.332   0.0932514     0.249
     0.6370      1   -17.860     7.134   0.0000000     0.000
     0.6370      2    -2.068     7.134   0.0000000     0.000
     0.6370      3    -0.622     7.018   0.0695680     0.242
     0.6370      4     0.000     6.893   0.0695680     0.242
     0.6370      5     0.125     6.822   0.0707734     1.144
     0.6370      6     1.589     6.220   0.0707734     1.144
     0.6370      7     1.964     5.782   0.0707734     1.144
     0.6370      8     2.943     5.638   0.0707734     1.144
     0.6370      9     3.631     5.405   0.0707734     1.144
     0.6370     10     4.710     5.606   0.0707734     1.144
     0.6370     11     7.315     6.822   0.0729226     0.398
     0.6370     12     7.770     7.134   0.0000000     0.000
