Lfd.Nr.;Pegelname;Gewässer;Gewässerfolge;Gebiet;Gebietskennz.;TK 25;HW;RW;LS;Stationierung;Lage am Gewässer;Gemeindekennzahl;AEO (km2);PNP1;PNP2;PNP3;Messstellennummer1;Messstellennummer2;Messstellennummer3;Messnetzart;WO;W1;WZ;Q;B;F;Tw;2;3;4;5;GJ;OrB;eingest.;gepl.;Betreiber;Daten abrufbar bei;Veröffentlichung der Daten;sonstige Bemerkungen
354;Klosterhäseler;Hasselbach;Unstrut, Saale, Elbe;Unstrut;56498;4835;5670050;4473950;GKS;;links;15228190;;;;;;;;S;;;;;;;;;3;;;;;;;LHW;LHW Halle;;induktive Messsonde
355;Wehr Wetterzeube;Weiße Elster;Saale, Elbe;Weiße Elster;566553;4938;;;GKS;102,8;;15246350;;160,00;;;;;;S;;;WZ;;;;;2;;;;;OrB;;5;LHW;FB MER;;
356;Profen;Weiße Elster;Saale, Elbe;Weiße Elster;566591;4839;5665523;4516259;GKS;72,7;links;15246240;;130,00;;;;;;V;;;WZ;;;;;;;;;;OrB;;;LHW;FB MER;;
357;Gefällestufe Profen;Weiße Elster;Saale, Elbe;Weiße Elster;566591;4839;;;GKS;72,1;rechts;15246240;;130,00;;;;;;S;;;WZ;;;;;;;;;;OrB;;5;LHW;FB MER;;Forderung RP
358;Bornitz;Weiße Elster;Saale, Elbe;Weiße Elster;566591;4939;5660778;4512008;GKS;84,6;rechts;15246020;;140,00;;;;;;S;;;WZ;;;;;;;;;;OrB;;;LHW;FB MER;;Forderung RP
359;Hydrierwerk Zeitz;Weiße Elster;Saale, Elbe;Weiße Elster;566559;4939;5658924;4511947;GKS;87,2;rechts;15246390;;144,90;;;;;;;;;;;;;;2;;;;;OrB;;;Hydrierwerk;;;
360;Großosida;Weiße Elster;Saale, Elbe;Weiße Elster;566559;4938;5655419;4507394;GKS;94,0;rechts;;;150,00;;;;;;V;;;;;;;;2;;;;;OrB;;;LHW;FB MER;;Forderung RP
361;Schöpfwerk Lochau;Weiße Elster;Saale, Elbe;Weiße Elster;56693;4638;5695630;4503910;GKS;12,2;Mitte;15235280;;;;;;;;S;;;;;;;;2;;;5;;OrB;;;LHW;FB MER;;
362;Schöpfwerk Raßnitz;Weiße Elster;Saale, Elbe;Weiße Elster;56693;4638;5695010;4506780;GKS;13,9;rechts;15227300;;;;;;;;S;;;;;;;;2;;;5;;OrB;;;LHW;FB MER;;
363;Schöpfwerk Oberthau;Weiße Elster;Saale, Elbe;Weiße Elster;56693;4638;5694520;4509630;GKS;16,9;rechts;;;;;;;;;S;;;;;;;;2;;;5;;OrB;;;LHW;FB MER;;
364;Hubschütz Döllnitz;Weiße Elster;Saale, Elbe;Weiße Elster;56693;4538;5696180;4502470;GKS;9,2;links;15235100;;;;;;;;S;;;WZ;;;;;;;4;;;OrB;;;LHW;FB MER;;
365;Gotthardteich - FKA;Geisel;Saale, Elbe;Untere Saale;56569;4637;5690230;4498920;GKS;;links;15227240;;;;;;;;S;;;WZ;;;;;;;;;;OrB;;;LHW;FB MER;;
366;Pumpwerk Kreypau;Der Bach;Saale, Elbe;Untere Saale;56556;4638;5687740;4503160;GKS;0,0;rechts;15227190;;;;;;;;S;;;;;;;;2;;;;;OrB;;;LHW;FB MER;;
367;Gotthardteich - Wehr;Gotthardteich;Geisel, Saale, Elbe;Untere Saale;56569;4637;5691060;4499610;GKS;;rechts;15227240;;;;;;;;S;;;WZ;;;;;;;4;;;OrB;;;LHW;FB MER;;
368;Flußw.aufbereit.anlage;Böse Sieben;Salza, Saale, Elbe;Untere Saale;567247;4435;5707740;4474860;GKS;;links;15215190;;;;;;;;G;;;WZ;;;;;;;4;;;;;;LHW;FB MER;;
