Lfd.Nr.;Pegelname;Gewässer;Gewässerfolge;Gebiet;Gebietskennz.;TK 25;HW;RW;LS;Stationierung;Lage am Gewässer;Gemeindekennzahl;AEO (km2);PNP1;PNP2;PNP3;Messstellennummer1;Messstellennummer2;Messstellennummer3;Messnetzart;WO;W1;WZ;Q;B;F;Tw;2;3;4;5;GJ;OrB;eingest.;gepl.;Betreiber;Daten abrufbar bei;Veröffentlichung der Daten;sonstige Bemerkungen
132;Alsleben Schl. OP;Saale;Elbe;Untere Saale;56753;4236;;;;51,3;;;18916;61,94;;;570870;570860;570880;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
133;Alsleben Schl. UP;Saale;Elbe;Untere Saale;56753;4236;;;;51,1;;;18916;59,05;;;570880;570870;570900;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
134;Bernburg Schl. OP;Saale;Elbe;Untere Saale;5677;4236;;;;37,0;;;19639;55,14;;;570900;570880;570910;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
135;Bernburg UP;Saale;Elbe;Untere Saale;5677;4236;5741000;4481900;;36,0;rechts;;19639;55,14;;;570910;570900;570920;G;WO;W1;;Q;;F;;;;;;GJ;;;;WSA DD;WSA DD;DGJ;
136;Calbe Schl. OP;Saale;Elbe;Untere Saale;56913;4036;;;;20,3;;;23681;52,26;;;570920;570910;570930;S;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
137;Calbe Schl. UP;Saale;Elbe;Untere Saale;56913;4036;;;;20,0;;;23681;48,13;;;570930;570920;570940;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
138;Calbe-Grizehne ;Saale;Elbe;Untere Saale;56913;4036;5753640;4487030;;17,6;links;;23719;49,39;;;570940;570930;570950;G;WO;W1;;Q;;F;;;;;;GJ;;;;WSA DD;WSA DD;DGJ;
139;Großrosenburg;Saale;Elbe;Untere Saale;;4037;;;;9,5;;;23718;47,82;;;570950;570940;;;;;;;;;;;;;;;;;;WSA DD;WSA DD;;
140;Wangen;Unstrut;Saale, Elbe;Unstrut;56493;4735;5681900;4468420;GKS;36,66;links;15229270;6025;109,54;;;573260;;573360;G;;W1;;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
141;Laucha;Unstrut;Saale, Elbe;Unstrut;56497;4736;5676890;4478080;GKS;12,82;rechts;15229180;6218;104,50;;;573360;573260;;G;WO;W1;;Q;;;;;;;;GJ;;;;LHW;LHW Halle;DGJ;Seilkrananlage
142;Brücken;Kleine Helme;Helme, Unstrut,Saale, Elbe;Unstrut;56476;4533;5701440;4444530;GKS;17,4;Mitte;15237100;1,3;134,95;;;575310;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;Abschlag aus Helme, nur sehr kleines eigenes AEo
143;Aumühle/Görsbach;Helme;Unstrut, Saale, Elbe;Unstrut;56483;4531;5702050;4426820;GKS;42,2;links;;628;149,00;;;575402;575400;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;neuer Pegelstandort und neuer PNP 1999, Ultraschallanlage zur Q-Erfasssung
144;TS Kelbra BP I;TS Dauerstau;Helme, Unstrut, Saale, Elbe;Unstrut;56483;4532;;;GKS;;BW I;15237270;660;149,00;;;;;;G;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;;
145;TS Kelbra BP II;TS Dauerstau;Helme, Unstrut, Saale, Elbe;Unstrut;56483;4532;;;GKS;;BW II;15237270;660;149,00;;;;;;G;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;;
146;TS Kelbra BP III;TS nördl. HWSR;Helme, Unstrut, Saale, Elbe;Unstrut;56483;4532;;;GKS;;BW III;15237270;660;149,00;;;;;;G;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;;
147;TS Kelbra Auslauf I;Solgraben;Helme, Unstrut, Saale, Elbe;Unstrut;56483;4532;;;GKS;;links;15237270;660;149,00;;;;;;;;;WZ;;;;;;3;;5;;;;;LHW;LHW Halle;;
148;TS Kelbra Auslauf II;Helme;Unstrut, Saale, Elbe;Unstrut;56483;4532;;;GKS;;rechts;15237270;660;149,00;;;;;;;;;WZ;;;;;;3;;5;;;;;LHW;LHW Halle;;
149;TS Kelbra Auslauf III;Sielgraben;Helme, Unstrut, Saale, Elbe;Unstrut;56483;4532;;;GKS;;links;15237270;660;149,00;;;;;;;;;WZ;;;;;;3;;5;;;;;LHW;LHW Halle;;
150;Saukopf;Helme;Unstrut, Saale, Elbe;Unstrut;56485;4532;5701500;4433480;GKS;;rechts;15237270;;147,52;;;;;575410;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;;
151;Bennungen;Helme;Unstrut, Saale, Elbe;Unstrut;564855;4532;5702720;4438870;GKS;27,5;links;15237020;902;141,23;;;575410;;;G;WO;W1;;Q;;;Tw;;;;;GJ;;;;LHW;LHW Halle;DGJ;
152;Stolberg;Thyra;Helme, Ustrut, Saale, Elbe;Unstrut;564843;4431;5714940;4427829;GKS;16,7;rechts;15237490;31,7;275,22;;;575700;;575710;G;;W1;;Q;;;;;;;;GJ;;;;LHW;LHW Halle;DGJ;bewegliches Schlauchwehr
153;Berga;Thyra;Helme, Unstrut, Saale, Elbe;Unstrut;564849;4532;5702078;4430911;GKS;1,2;rechts;15237030;157;152,00;;;575710;575700;;G;;;WZ;Q;;;;;;;;GJ;;;;LHW;LHW Halle;DGJ;
154;Wickerode;Nasse;Leine, Helme, Unstrut, Saale, Elbe;Unstrut;564856;4532;5705380;4439400;GKS;1,5;rechts;15237550;12,5;179,58;;;575810;;;G;;;WZ;Q;;;;;;;; ;;;;LHW;LHW Halle;Jahrb. LHW Halle;
155;Wickerode;Leine;Helme, Unstrut, Saale, Elbe;Unstrut;564856;4532;5704280;4439617;GKS;1,7;rechts;15237550;61,9;155,26;;;575820;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
156;Sangerhausen;Gonna;Helme, Unstrut, Saale, Elbe;Unstrut;564869;4533;5704160;4449520;GKS;3,0;links;15237460;87,0;138,04;;;575850;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;neuer Pegelstandort 1997
157;Allstedt;Rohne;Helme, Unstrut, Saale, Elbe;Unstrut;564889;4534;5796520;4457800;GKS;3,0;links;15237010;119;129,54;;;575870;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;Pegelreko und Profilausbau 1997
158;Thalwinkel;Biberbach;Unstrut, Saale, Elbe;Unstrut;56496;4735;5676450;4472840;GKS;3,9;links;15229260;54,5;129,24;;;575970;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;neuer PNP 1998
159;Mertendorf;Wethau;Saale, Elbe;Untere Saale;56527;4837;5664725;4490014;GKS;8,0;rechts;15228240;205;117,12;;;576000;;;G;;;WZ;Q;;;;;;;;GJ;;;;LHW;LHW Halle;DGJ;
160;Rippach;Rippach;Saale, Elbe;Untere Saale;56549;4738;5676655;4504458;GKS;3,5;rechts;15242160;173;102,91;;;576100;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;starke Beeinflussung W+Q durch Bergbausümpfungswassereinltg.
161;Frankleben;Geisel;Saale, Elbe;Untere Saale;56567;4637;5686430;4495285;GKS;8,1;rechts;15227070;208;97,19;;;576210;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
162;Schkopau;Laucha;Saale, Elbe;Untere Saale;565929;4637;5694930;4498860;GKS;0,8;rechts;15227350;119;83,69;;;576240;;;G;;;WZ;Q;;;Tw;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
163;Zeitz;Weiße Elster;Saale, Elbe;Weiße Elster;566559;4938;5658010;4510230;GKS;89,48;links;15246390;2504;146,44;;;576610;576520;576900;G;WO;W1;;Q;;;;;;;;GJ;;;;LHW;LHW Halle;DGJ;
164;Oberthau;Weiße Elster;Saale, Elbe;Weiße Elster;56693;4638;5694580;4510300;GKS;17,8;rechts;;4939;87,27;;;576900;576610;;G;WO;W1;;Q;;;Tw;;;;;GJ;;;;LHW;LHW Halle;DGJ;Übernahme der Durchflußwerte vom ehem. Pegel Lochau
165;Ölsen;Schnauder;Weiße Elster, Saale, Elbe;Weiße Elster;566583;4939;5655530;4517350;GKS;31,9;rechts;;70,3;181,09;;;577450;;;G;;;WZ;;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
166;Bruckdorf;Reide;Weiße Elster, Saale, Elbe;Weiße Elster;566949;4538;5701110;4502370;GKS;4,5;links;15202000;120;88,16;;;578180;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
167;Sennewitz;Götsche;Saale, Elbe;Untere Saale;56716;4437;5711200;4496400;GKS;2,5;links;15235470;47,3;78,10;;;578220;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;ab 1995 neuer Pegelstandort
168;Zappendorf;Salza;Saale, Elbe;Untere Saale;56729;4436;5708060;4486830;GKS;3,4;links;15235550;547;75,03;;;578310;;;G;;;WZ;Q;;;Tw;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;ab 3.10.1972 neuer Pegel
169;Unterrißdorf;Böse Sieben;Salza, Saale, Elbe;Untere Saale;567247;4435;5709335;4471975;GKS;3,7;links;15215310;104;100,83;;;578350;;;G;;;WZ;Q;B;F;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
170;Querfurt;Querne;Salza, Saale, Elbe;Untere Saale;56721;4635;5693840;4471460;GKS;;rechts;15233210;;;;;578370;;;G;;;WZ;;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;PNP nicht eingemessen
171;Stedten;Weida;Salza, Saale, Elbe;Untere Saale;56723;4536;5700824;4477698;GKS;11,3;rechts;15215300;173;104,07;;;578380;578370;;G;;;WZ;Q;B;F;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
172;Friedeburg;Schlenze;Saale, Elbe;Untere Saale;56749;4336;5720473;4482188;GKS;1,3;rechts;15222100;110;70,82;;;578390;;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
173;Zulauf VS Wippra;Wipper;Saale, Elbe;Untere Saale;5676;4433;5715100;4443400;GKS;;links;15222400;;292,03;;;;;;G;;;WZ;;;;;;3;;5;;;;;LHW;LHW Halle;;Fernübertragung zur VS Wippra
174;VS Wippra Beckenp..;Wipper;Saale, Elbe;Untere Saale;5676;4433;5714970;4445060;GKS;72,01;rechts;15222400;71,4;;;;;;578400;G;;;WZ;;;;;;;;5;;;;;LHW;LHW Halle;;Fernübertragung zur VS Wippra
175;Auslauf VS Wippra;Wipper;Saale, Elbe;Untere Saale;56763;4433;5714920;4445080;GKS;71,76;rechts;15222400;71,4;273,59;;;578400;;578410;G;WO;;;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
176;Wippra;Wipper;Saale, Elbe;Untere Saale;56765;4433;5715940;4450100;GKS;63,92;links;15222400;136;242,62;;;578410;578400;578420;G;WO;W1;;Q;;;Tw;;;;;GJ;;;;LHW;LHW Halle;DGJ;
177;Mansfeld-Leimbach;Wipper;Saale, Elbe;Untere Saale;567671;4334;5719145;4463690;GKS;44,10;links;15222210;210;167,25;;;578420;578410;578430;G;WO;W1;;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
178;Großschierstedt;Wipper;Saale, Elbe;Untere Saale;56769;4235;5735500;4467540;GKS;17,77;links;15211090;544;91,23;;;578430;578420;;G;WO;W1;;Q;;;;;;;;GJ;;;;LHW;LHW Halle;DGJ;
179;Stangerode;Eine;Wipper, Saale, Elbe;Untere Saale;567683;4334;5725194;4455608;GKS;21,0;links;15222310;75,3;197,62;;;578500;;578510;G;;W1;;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;neue W-Reihe ab 1975 (Profilausb.)
180;Aschersleben;Eine;Wipper, Saale, Elbe;Untere Saale;567689;4234;5735160;4461221;GKS;5,5;links;15211010;167;118,75;;;578510;578500;;G;;;WZ;Q;;;Tw;;;;;GJ;;;;LHW;LHW Halle;DGJ;
181;Baalberge;Fuhne;Saale, Elbe;Untere Saale;56789;4236;5736660;4485870;GKS;5,3;links;15112030;681;;59,50;;578600;;;G;;;WZ;Q;;;Tw;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;Profilausbau in1969
182;Köthen;Ziethe;Fuhne,Saale, Elbe;Untere Saale;567885;4237;5736300;4499120;GKS;16,8;Mitte;15126250;51,9;;70,61;;578610;;578620;G;;;WZ;Q;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
183;Kleinpaschleben;Ziethe;Fuhne, Saale, Elbe;Untere Saale;567885;4237;5738550;4492380;GKS;9,1;Mitte;;83;;67,72;;578620;578610;;G;;;WZ;Q;;;;;;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
184;Chörau;Taube-Landgraben;Saale, Elbe;Untere Saale;5692;4138;5743650;4507600;GKS;;links;15126040;;;53,11;;578640;;578650;V;;;WZ;;;;;;3;;;;;;;LHW;LHW Halle;;
185;Aken;Taube-Landgraben;Saale, Elbe;Untere Saale;56923;4138;5745600;4502100;GKS;15,2;links;15126010;151;52,226;;;578650;578640;;G;;;WZ;;;;;;3;;;;;;;LHW;LHW Halle;Jahrb. LHW Halle;
186;Überleitungssp. Königshütte BP;Bode;Saale, Elbe;Bode;56831;4230;5734200;4417540;;141,0;;;154;0,13;;;579000;503050;579001;S;WO;;;;;;;;;;5;;;;;TSB;TSB;;
187;Hirtenstieg;Bode;Saale, Elbe;Bode;56831;4230;5734180;4417500;;140,7;;;158;412,69;;;579001;579000;579003;S;WO;;;Q;;;;;;4;;;;;;TSB;TSB;;
188;Wendefurt Oberbecken;Bode;Saale, Elbe;Bode;56831;;;;;;;;;;;;579004;579003;579005;S;;;WZ;;;;;;;;;;;;;TSB;TSB;;
189;Talsperre Wendefurth Beckenpegel;Bode;Saale, Elbe;Bode;56831;4231;5734830;4425400;;125,0;;;309;;;;579005;579003;579006;S;WO;;;;;;;;;;5;;;;;TSB;TSB;;
190;Wendefurth;Bode;Saale, Elbe;Bode;56833;4231;5734720;4425440;;125,0;rechts;;309;322,00;;n S;579006;579005;579010;G;WO;;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
191;Treseburg;Bode;Saale, Elbe;Bode;56833;4231;5731790;4428960;;115,0;links;;333;268,31;;;579010;579006;579020;G;;;WZ;;B;;Tw;;3;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
192;Thale;Bode;Saale, Elbe;Bode;568351;4232;5734180;4432640;;106,0;links;;386;80,70;;;579020;579010;579030;G;WO;W1;;;B;;;;;;;;;;;STAU MD;STAU MD;;
193;Quedlinburg;Bode;Saale, Elbe;Bode;568359;4232;5739600;4441780;;93,0;links;;526;116,82;;;579030;579020;579040;G;;;WZ;;B;;;;3;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
194;Ditfurt;Bode;Saale, Elbe;Bode;56839;4133;5744630;4445490;;86,0;links;;710;105,90;;n S;579040;579030;579049;G;WO;W1;;Q;B;;Tw;;;;;;;;;STAU MD;STAU MD;;
195;Wegeleben;Bode;Saale, Elbe;Bode;568529;4133;5750710;4444290;;75,2;rechts;;1215;93,75;;;579049;579040;579050;G;WO;W1;;Q;B;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
196;Hadmersleben;Bode;Saale, Elbe;Bode;56893;3933;5763720;4453380;;46,9;links;;2758;72,87;;;579070;579060;579080;G;WO;W1;;Q;B;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausfallzeiten
197;Staßfurt;Bode;Saale, Elbe;Bode;568997;4135;5746740;4471760;;16,8;rechts;;3200;61,27;;;579085;579080;579090;G;WO;W1;;Q;B;;Tw;;;;;;;;;STAU MD;STAU MD;;
198;Neugattersleben;Bode;Saale, Elbe;Bode;568999;4136;5745820;4479810;;3,0;links;;3275;58,25;;;579090;579085;579205;G;;;WZ;;B;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
199;Nienburg;Saale (Bodemündung;Elbe;Bode;5679;4136;;;;27,9;;;20366;54,60;;;579100;;;;;;;;;;;;;;;;;;;;;;
200;Tanne;Warme Bode;Bode, Saale, Elbe;Bode;56817;4230;5730240;4412230;;6,6;links;;71,5;458,56;;;579205;579090;579209;G;WO;W1;;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
201;Königshütte;Warme Bode;Bode, Saale, Elbe;Bode;56819;4230;5734500;4414850;;0,4;rechts;;100;425,75;;n S;579209;579205;579210;G;WO;;;Q;B;;;;;4;;;;;;TSB;TSB;;
202;Elend;Kalte Bode;Bode, Saale, Elbe;Bode;56823;4230;5735160;4409180;;7,4;links;;25,7;489,80;;;579305;579210;579310;G;WO;W1;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausfallzeiten
203;HWS Königshütte Beckenp.;Kalte Bode;Bode, Saale, Elbe;Bode;56827;4230;5735640;4413200;;2,7;;;34,5;441,45;;;579320;579310;579330;S;WO;;;;;;;;;;5;;;;;TSB;TSB;;
204;HWS Königshütte ;Kalte Bode;Bode, Saale, Elbe;Bode;56827;4230;5735760;4413680;;2,3;links;;43,7;441,45;;n S;579330;579320;579340;S;WO;;;Q;B;;;;;4;;;;;;TSB;TSB;;
205;Königshütte (Bahnhof);Kalte Bode;Bode, Saale, Elbe;Bode;56829;4230;5735350;4414550;;1,0;links;;49,0;430,62;;;579342;579340;579350;V;;;WZ;;B;;;;3;;;;;;;STAU MD;STAU MD;;
206;Trautenstein;Rappbode;Bode, Saale, Elbe;Bode;568327;4330;5729450;4416480;;15,0;Mitte;;39,1;442,90;;n S;579405;579380;579410;G;WO;;;Q;B;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
207;Rappbode Vorsperre Beckenp.;Rappbode;Bode, Saale, Elbe;Bode;56832;4230;5731300;4417100;;11,3;;;44,0;438,87;;;579420;579410;579430;S;WO;;;;;;;;;;5;;;;;TSB;TSB;;
208;Rappbodetalsperre Beckenp.;Rappbode;Bode, Saale, Elbe;Bode;56832;4231;5736600;4423680;;0,0;;;115;;;;579430;579420;579504;S;WO;;;;;;;;;;5;;;;;TSB;TSB;;
209;Hasselfelde;Hassel;Rappbode, Bode, Saale, Elbe;Bode;568328;4331;5729300;4421200;;4,7;;;29,9;;;;579504;579430;579505;G;;W1;;Q;;;;;;;;;;;;STAU MD;STAU MD;;
210;Hassel Vorsperre Beckenpegel;Hassel;Rappbode, Bode, Saale, Elbe;Bode;5683;4230;5731160;4419300;;1,2;links;;44,1;433,02;;;579530;579515;579549;S;WO;;;;;;;;;;5;;;;;TSB;TSB;;
210;Treseburg;Luppbode;Bode, Saale, Elbe;Bode;56834;4231;5731560;4429170;;0,5;;;41,3;0,00;;n S;579549;579530;579550;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
212;Elbingstal-Teich;Elbingerstalbach;Selke, Bode, Saale, Elbe;Bode;5684;4332;5723080;4431760;;;;;8,5;;;;579600;579550;579601;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
213;Frankenteich;Rödelbach;Selke, Bode, Saale, Elbe;Bode;56841;4332;5718860;4432560;;;;;3,7;;;;579601;579600;579602;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
214;Kiliansteich;SilberhütterKunstgraben;Rödelbach, Selke, Bode, Saale, Elbe;Bode;56841;4332;5719460;4432580;;;;;;;;;579602;579601;579603;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
215;Fürstenteich;Bach a. d.Teufelsgrund;Selke, Bode, Saale, Elbe;Bode;56844;4332;5721700;4437470;;;;;6,7;;;;579603;579602;579604;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
216;Teufelsteich;Bach a. d.Teufelsgrund;Selke, Bode, Saale, Elbe;Bode;56844;4332;5721060;4438900;;;;;5,0;;;;579604;579603;579605;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
217;Silberhütte;Selke;Bode, Saale, Elbe;Bode;568451;4332;5722320;4437590;;50,7;rechts;;105;329,88;;n S;579605;579604;579606;G;WO;W1;;Q;B;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
218;Gondelteich;Uhlenbach;Selke, Bode, Saale, Elbe;Bode;56842;4332;5727620;4433950;;;;;2,5;;;;579606;579605;579607;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
219;Erichsburger Teich;Friedenstalbach;Selke, Bode, Saale, Elbe;Bode;568452;4332;5727160;4435520;;;;;1,7;;;;579607;579606;579608;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
220;Bergrat-Müller-Teich;Friedenstalbach;Selke, Bode, Saale, Elbe;Bode;568452;4332;5727640;4435370;;;;;1,2;;;;579608;579607;579610;S;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
221;Meisdorf;Selke;Bode, Saale, Elbe;Bode;568455;4333;5728800;4450580;;29,4;rechts;;184;189,13;;n S;579610;579608;579620;G;WO;W1;;Q;;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
222;Hausneindorf;Selke;Bode, Saale, Elbe;Bode;56849;4133;5745250;4449660;;5,5;rechts;;456;104,58;;n S;579620;579610;579630;G;WO;W1;;Q;;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
223;Pfeifenkrug;Goldbach;Bode, Saale, Elbe;Bode;568525;4131;5743660;4426650;;23,0;rechts;;27,8;180,97;;n S;579652;579630;579654;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
224;Harsleben;Goldbach;Bode, Saale, Elbe;Bode;568527;4132;5749200;4440040;;5,2;rechts;;81,0;101,65;;;579655;579654;579656;G;;;WZ;;;;;;3;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
225;Hanneckenbruch;Holtemme;Bode, Saale, Elbe;Bode;56861;4130;5741900;4410040;;44,0;links;;9,4;568,45;;n S;579703;579656;579705;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
226;Wernigerode St.Renne;Holtemme;Bode, Saale, Elbe;Bode;56861;4130;5743420;4412480;;41,0;links;;15,7;298,85;;n S;579705;579703;579708;G;WO;W1;;Q;B;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;Ausfallzeiten
227;Mahndorf;Holtemme;Bode, Saale, Elbe;Bode;56865;4131;5750600;4428700;;19,3;rechts;;168;132,87;;n S;579712;579711;579720;G;WO;W1;;Q;;;;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
228;Nienhagen;Holtemme;Bode, Saale, Elbe;Bode;56869;4032;5756780;4442300;;3,0;rechts;;271;89,25;;n S;579745;579740;579753;G;WO;;;Q;B;;Tw;;;;;;;;;STAU MD;STAU MD;;
229;Drei Annenhohne;Zillierbach;Holtemme, Bode, Saale, Elbe;Bode;56862;4230;5738280;4412400;;13,3;rechts;;3,9;541,72;;;579753;579753;579754;G;;;WZ;Q;;;Tw;;;;;;;;;STAU MD;STAU MD;;
230;TS Zillierbach Zufluß-Pegel;Zillierbach;Holtemme, Bode, Saale, Elbe;Bode;56862;4230;5739380;4414600;;10,1;links;;8,0;474,38;;n S;579754;579753;579755;G;WO;;;Q;;;;;;4;;;;;;TSB;TSB;;
231;TS Zillierbach Einlauf-Pegel;Zillierbach;Holtemme, Bode, Saale, Elbe;Bode;56862;4230;5739420;4414950;;10,4;;;10,4;;;;579755;579754;579756;S;WO;;;;;;;;;;5;;;;;TSB;TSB;;
232;TS Zillierbach Beckenpegel;Zillierbach;Holtemme, Bode, Saale, Elbe;Bode;56862;4230;5740420;4415840;;9,0;;;10,7;;;;579756;579755;579758;S;WO;;;;;;;;;;5;;;;;TSB;TSB;;
233;Wernigerode;Zillierbach;Holtemme, Bode, Saale, Elbe;Bode;56862;4130;5744760;4416380;;0,6;rechts;;32,4;242,74;;n S;579758;579756;579767;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
234;Silstedt;Silstedter Bach;Holtemme, Bode, Saale, Elbe;Bode;56863;4131;5747840;4420200;;1,2;links;;12,6;189,63;;;579767;579758;579768;G;;;WZ;;;;;;3;;;;;;;STAU MD;STAU MD;;
235;Minsleben;Barrenbach;Holtemme, Bode, Saale, Elbe;Bode;56863;4130;5748700;4418960;;1,0;links;;13,7;195,99;;n S;579775;579768;579782;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
236;Benzingerode;Hellbach;Holtemme, Bode, Saale, Elbe;Bode;56864;4131;5743800;4422900;;9,8;rechts;;3,4;279,03;;n S;579782;579775;579785;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
237;Derenburg;Hellbach;Holtemme, Bode, Saale, Elbe;Bode;56864;4131;5748350;4424830;;0,5;links;;26,7;157,00;;n S;579785;579782;579787;G;;;WZ;Q;B;;;;;;;;;;;STAU MD;STAU MD;;
238;Ströbeck;Ströbecker Fließ;Holtemme, Bode, Saale, Elbe;Bode;56866;4031;5753680;4427850;;5,1;rechts;;13,6;140.04;;n S;579794;579787;579795;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
239;Neuwegersleben;Gr. Graben;Bode, Saale, Elbe;Bode;56885;3932;5767040;4437960;;10,0;links;;530;78,76;;;579805;579797;579810;G;;;WZ;;B;;;;;;;;;;;STAU MD;STAU MD;;Ausfallzeiten
240;Oschersleben;Gr. Graben;Bode, Saale, Elbe;Bode;56889;3933;5765820;4446920;;6,0;rechts;;838;76,56;;n S;579810;579805;579811;G;WO;W1;;Q;B;;Tw;;;;;GJ;;;;STAU MD;STAU MD;DGJ;
241;Ohrsleben;Schöninger Aue;Gr. Graben, Bode, Saale, Elbe;Bode;568884;;;;;5,6;;;169;;;;579848;579845;579855;G;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
242;Peseckendorf;Geesgraben;Bode, Saale, Elbe;Bode;568927;3933;5764760;4453300;;0,9;links;;85,0;75,39;;n S;579906;579905;579955;G;;;WZ;Q;;;;;;;;;;;;STAU MD;STAU MD;;
243;Gr. Germersleben;Sarre;Bode, Saale, Elbe;Bode;56894;3934;5763940;4456880;;2,5;links;;67,5;;;;579960;579955;580700;;;;WZ;;;;;;;;;;;;;STAU MD;STAU MD;;
244;Rathenow Stadtschl. OP;Havel;Elbe;Untere Havel;58773;;;;;58,0;;;19329;24,53;24,38;;580680;;;S;;;;;;;;;;;;;;;;;;;
245;Rathenow Stadtschl. UP;Havel;Elbe;Untere Havel;58773;;;;;58,0;;;19329;24,53;24,38;;580690;;;;;;;;;;;;;;;;;;;;;;
246;Grütz OP;Havel;Elbe;Untere Havel;58799;;;;;117,3;;;;23,83;;;580700;57996;580710;S;WO;;;;;;;;;;;;;;;WSA BRB;WSA BRB;;
247;Grütz UP;Havel;Elbe;Untere Havel;58799;3239;;;;117,3;;;;23,83;;;580710;57996;580710;S;WO;;;;;;;;;;;;;;;WSA BRB;WSA BRB;;
248;Molkenberg Wehr OP;Havel;Elbe;Untere Havel;58797;3239;;;;;;;;23,20;23,04;;580720;;;S;;;;;;;;;;;;;;;;;;;
249;Molkenberg Wehr UP;Havel;Elbe;Untere Havel;58797;3239;;;;;;;;23,20;23,04;;580730;;;S;;;;;;;;;;;;;;;;;;;
