  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 20.96000000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
    8.9260       1.4750           7.5770        6.2500     1.018270    -0.2089734D+01    -0.6972550D-01     0.2410743D-02
    8.9560       1.5050           7.8070        6.5000     1.019900    -0.2294708D+01    -0.6565012D-01     0.1062696D-01
    8.9850       1.5340           8.0390        6.7500     1.022550    -0.2384465D+01    -0.6348571D-01     0.1406419D-01
    9.0130       1.5620           8.2730        7.0000     1.024730    -0.2344324D+01    -0.6326133D-01     0.1347663D-01
    9.0410       1.5900           8.5070        7.2500     1.026970    -0.2142369D+01    -0.5573716D-01     0.8520430D-02
    9.0690       1.6180           8.7430        7.5000     1.029250    -0.1751765D+01    -0.4020876D-01     0.3282352D-04
    9.0970       1.6460           8.9800        7.7500     1.031550    -0.1140946D+01    -0.1592289D-01    -0.1024208D-01
    9.1240       1.6730           9.2160        8.0000     1.033890    -0.3196932D+00     0.7611126D-02    -0.1949145D-01
    9.1510       1.7000           9.4550        8.2500     1.036220     0.7647592D+00     0.4079591D-01    -0.2477497D-01
    9.1770       1.7260           9.7120        8.5000     1.040080     0.2063626D+01     0.7336406D-01    -0.2406760D-01
    9.2020       1.7510          10.0080        8.7500     1.047190     0.3552189D+01     0.1049096D+00    -0.1597319D-01
    9.2270       1.7760          10.3220        9.0000     1.055120     0.5333663D+01     0.1468195D+00     0.6281688D-02
    9.2510       1.8000          10.6390        9.2500     1.061900     0.7347522D+01     0.1874849D+00     0.4711982D-01
    9.2740       1.8230          10.9480        9.5000     1.067660     0.9590443D+01     0.2262626D+00     0.1086596D+00
    9.2960       1.8450          11.2510        9.7500     1.073810     0.1204230D+02     0.2624253D+00     0.1910964D+00
    9.3120       1.8610          25.7910       10.0000     1.466310    -0.2888252D+00     0.2269726D+00    -0.1195394D+00
    9.3130       1.8620          25.9400       10.2500     1.466500    -0.2888305D-03    -0.9432524D-02    -0.1140769D+00
    8.4260       0.9750           4.1170       10.5000     1.000000    -0.4332818D+02     0.3250000D+01     0.5828123D+01
    9.3120       1.8610          25.8390       10.7500     1.466400     0.8021776D-02     0.2916666D+01    -0.1196294D+00
    9.3130       1.8620          25.8810       11.0000     1.466460     0.5871117D-01     0.2708333D+01    -0.1140369D+00
    8.4590       1.0080           4.3250       11.2500     1.000000    -0.4172424D+02    -0.3313097D+02     0.4513654D+01
    8.4700       1.0190           4.3910       11.5000     1.000000    -0.4117576D+02    -0.3292248D+02     0.4128162D+01
    8.4800       1.0290           4.4580       11.7500     1.000000    -0.4067957D+02    -0.3275568D+02     0.3799050D+01
    8.4910       1.0400           4.5230       12.0000     1.000000    -0.4012005D+02    -0.3254720D+02     0.3459539D+01
    8.5010       1.0500           4.5880       12.2500     1.000000    -0.3961275D+02    -0.3238040D+02     0.3170532D+01
    8.5110       1.0600           4.6530       12.5000     1.000000    -0.3910110D+02    -0.3221360D+02     0.2899457D+01
    8.5210       1.0700           4.7180       12.7500     1.000000    -0.3858511D+02    -0.3204681D+02     0.2645583D+01
    8.5310       1.0800           4.7830       13.0000     1.000000    -0.3806477D+02    -0.3188001D+02     0.2408193D+01
    8.5410       1.0900           4.8440       13.2500     1.000000    -0.3753610D+02    -0.3171322D+02     0.2186586D+01
    8.5500       1.0990           4.9060       13.5000     1.000000    -0.3706368D+02    -0.3158811D+02     0.2000064D+01
    9.3140       1.8630          26.0000       13.7500     1.466700     0.3244399D-01    -0.1159687D-08    -0.1085586D+00
    9.3200       1.8690          26.5880       14.0000     1.467080     0.1752903D-02     0.2317663D-06    -0.7322191D-01
    9.3260       1.8750          27.1580       14.2500     1.467070    -0.9374781D-02    -0.1157977D-06    -0.3501016D-01
    9.3320       1.8810          27.7050       14.5000     1.466740     0.4060939D-02    -0.1043852D-05     0.6109006D-02
    9.3380       1.8870          28.3290       14.7500     1.466030    -0.5793994D-01    -0.2552396D-05     0.5029987D-01
    9.3450       1.8940          28.9080       15.0000     1.465090     0.2070168D-01     0.4166162D-01     0.1055113D+00
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 21.11400000000000 !!
  -----------------------------------------------------------------------------------
    WSP in mNN      TIEFE in m        A in qm         Q in m3/s         ALPHA [-]        DEL A             DEL Q            DEL ALPHA  
  --**.********-------**.********----**.********-------**.********-------**.********-------**.********----  ---**.********- -----**.********
    8.0630       0.3130           1.6050        0.5000     1.000000     0.1119257D+00     0.3842501D-01     0.0000000D+00
    8.1320       0.3820           2.0490        0.7500     1.000000    -0.4950406D-01    -0.1804097D-01     0.0000000D+00
    8.1920       0.4420           2.4380        1.0000     1.000000    -0.8951237D-01    -0.3274862D-01     0.0000000D+00
    8.2460       0.4960           2.7940        1.2500     1.000000    -0.7915451D-01    -0.2828039D-01     0.0000000D+00
    8.2950       0.5450           3.1270        1.5000     1.000000    -0.5491703D-01    -0.1899777D-01     0.0000000D+00
    8.3410       0.5910           3.4370        1.7500     1.000000    -0.1967361D-01    -0.5491714D-02     0.0000000D+00
    8.3850       0.6350           3.7320        2.0000     1.000000     0.1680452D-01     0.1159829D-01     0.0000000D+00
    8.4270       0.6770           4.0170        2.2500     1.000000     0.4438129D-01     0.2801430D-01     0.0000000D+00
    8.4670       0.7170           4.2920        2.5000     1.000000     0.6068759D-01     0.4061128D-01     0.0000000D+00
    8.4990       0.7490           4.5150        2.7500     1.001400     0.6522091D-01     0.6173624D-02    -0.3770547D-03
    8.5360       0.7860           4.7680        3.0000     1.001830     0.6894180D-01     0.1094761D-01     0.1582506D-01
    8.5720       0.8220           5.0150        3.2500     1.002250     0.6570807D-01     0.1421474D-01     0.2152646D-01
    8.6060       0.8560           5.2580        3.5000     1.002680     0.4867642D-01     0.8196303D-02     0.2050737D-01
    8.6400       0.8900           5.4970        3.7500     1.003120     0.3330714D-01     0.6938661D-02     0.1558282D-01
    8.6730       0.9230           5.7310        4.0000     1.005090     0.1639736D-01     0.3197873D-02     0.7397816D-02
    8.7050       0.9550           5.9640        4.2500     1.006080    -0.3419903D-02    -0.3043691D-02     0.1083605D-03
    8.7370       0.9870           6.1920        4.5000     1.007090    -0.1254993D-01    -0.3850285D-02    -0.6269402D-02
    8.7670       1.0170           6.4250        4.7500     1.007970    -0.3206482D-01    -0.1468436D-01    -0.1047261D-01
    8.7980       1.0480           6.6690        5.0000     1.012320    -0.4344895D-01    -0.1116605D-01    -0.1584262D-01
    8.8270       1.0770           6.9240        5.2500     1.016790    -0.6621852D-01    -0.1736404D-01    -0.1860976D-01
    8.8550       1.1050           7.1870        5.5000     1.022090    -0.8805783D-01    -0.2509409D-01    -0.1958198D-01
    8.8830       1.1330           7.4570        5.7500     1.027890    -0.9660444D-01    -0.2523659D-01    -0.1831843D-01
    8.9100       1.1600           7.7390        6.0000     1.033990    -0.1036205D+00    -0.2626696D-01    -0.1504476D-01
    8.9370       1.1870           8.0300        6.2500     1.040300    -0.9338429D-01    -0.1850825D-01    -0.9607559D-02
    8.9630       1.2130           8.3280        6.5000     1.046730    -0.7275429D-01    -0.1109161D-01    -0.2717093D-02
    8.9880       1.2380           8.6280        6.7500     1.053020    -0.3638344D-01    -0.4189352D-02     0.5356346D-02
    9.0120       1.2620           8.9420        7.0000     1.060710     0.3551345D-02     0.1917147D-02     0.1254273D-01
    9.0350       1.2850           9.2690        7.2500     1.067980     0.4736045D-01     0.6836905D-02     0.2015618D-01
    9.0580       1.3080           9.6130        7.5000     1.077330     0.1082153D+00     0.2181213D-01     0.2588724D-01
    9.0800       1.3300           9.9700        7.7500     1.086840     0.1732627D+00     0.3541391D-01     0.3055545D-01
    9.1010       1.3510          10.3410        8.0000     1.096760     0.2395685D+00     0.4697310D-01     0.3351502D-01
    9.1210       1.3710          10.7230        8.2500     1.106890     0.3077595D+00     0.5572099D-01     0.3464691D-01
    9.1410       1.3910          11.1140        8.5000     1.117070     0.4022156D+00     0.7448474D-01     0.3432601D-01
    9.1590       1.4090          11.9940        8.7500     1.158470    -0.8727157D-02     0.7544725D-01     0.2287052D-03
    9.1710       1.4210          12.3490        9.0000     1.168690    -0.2123919D-01    -0.2228691D-02    -0.6128774D-02
    9.1870       1.4370          12.8350        9.2500     1.181500     0.1891674D+01    -0.2796133D-06    -0.1525778D-01
    9.2020       1.4520          13.3140        9.5000     1.192710     0.3261477D+01     0.2555317D-02    -0.2476301D-01
    9.2160       1.4660          13.7820        9.7500     1.202080     0.1383991D+01    -0.7326167D-02    -0.3427782D-01
    9.2310       1.4810          14.2410       10.0000     1.210140    -0.3321036D+01     0.5060251D-02    -0.4458432D-01
    9.2450       1.4950          14.6940       10.2500     1.217100    -0.6599617D+01     0.5096698D-02    -0.5581288D-01
    9.2580       1.5080          15.1380       10.5000     1.224030    -0.3021620D+01    -0.7970895D-02    -0.6877704D-01
    9.2720       1.5220          15.5770       10.7500     1.229650     0.1665692D+02     0.2634392D-02    -0.8333547D-01
    9.2850       1.5350          84.4030       11.0000     1.030210    -0.8674574D+01    -0.2163482D-04     0.1053416D+00
    9.2820       1.5320          83.8830       11.2500     1.030420    -0.2091556D+02    -0.3075737D+00     0.1078362D+00
    9.2820       1.5320          83.8860       11.5000     1.030420    -0.2091856D+02    -0.5575737D+00     0.1078362D+00
    9.2850       1.5350          84.4410       11.7500     1.030200    -0.8712574D+01    -0.7500216D+00     0.1053516D+00
    9.2850       1.5350          84.3930       12.0000     1.030210    -0.8664574D+01    -0.1000022D+01     0.1053416D+00
    8.5270       0.7770           4.7050       12.2500     1.001690     0.6528726D+06    -0.1573674D+02     0.1301406D-01
    9.2870       1.5370          84.7360       12.5000     1.030070     0.5467048D+00    -0.1461493D+01     0.1036027D+00
    9.2840       1.5340          84.3490       12.7500     1.030220    -0.8434900D+02    -0.1275000D+02    -0.1030220D+01
    9.2780       1.5280          83.2140       13.0000     1.030690    -0.8321400D+02    -0.1300000D+02    -0.1030690D+01
    9.2770       1.5270          83.1050       13.2500     1.030760    -0.8310500D+02    -0.1325000D+02    -0.1030760D+01
    9.2790       1.5290          83.3520       13.5000     1.030650    -0.8335200D+02    -0.1350000D+02    -0.1030650D+01
    8.5830       0.8330           5.0960       13.7500     1.002340    -0.5096000D+01    -0.1375000D+02    -0.1002340D+01
    8.5920       0.8420           5.1590       14.0000     1.002450    -0.5159000D+01    -0.1400000D+02    -0.1002450D+01
    8.6010       0.8510           5.2220       14.2500     1.002560    -0.5222000D+01    -0.1425000D+02    -0.1002560D+01
    8.6100       0.8600           5.2850       14.5000     1.002670    -0.5285000D+01    -0.1450000D+02    -0.1002670D+01
    8.6190       0.8690           5.3470       14.7500     1.002790    -0.5347000D+01    -0.1475000D+02    -0.1002790D+01
    8.6280       0.8780           5.4090       15.0000     1.002900    -0.5409000D+01    -0.1500000D+02    -0.1002900D+01
  
  AUSGABEDATEI FUER DIE WERTEPAARE DES PROFILS 21.25700000000000 !!
  -----------------------------------------------------------------------------------
