       Stat Kenn   Abfluss     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl      Q_li      Q_fl      Q_re lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN   AlphaIW   AlphaEW    I_Reib
         km    -     m^3/s       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2     m^3/s     m^3/s     m^3/s       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m         -         -         -
    45.6000    n     1.000   357.376   357.908   357.910   363.476   364.480   363.476   0.159    0.35     0.000     1.000     0.000  0.0000  0.1118  0.0000     0.000     6.289     0.000     0.000    17.379     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.7000    n     1.000   358.597   359.007   359.008   363.488   363.488   363.553   0.141    0.30     0.000     1.000     0.000  0.0000  0.1223  0.0000     0.000     7.084     0.000     0.000    22.755     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.8000    n     1.000   358.910   359.388   359.389   362.508   362.508   363.358   0.133    0.28     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.500     0.000     0.000    26.458     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    45.9000    n     1.000   359.301   359.803   359.804   362.010   362.010   363.252   0.138    0.30     0.000     1.000     0.000  0.0000  0.1246  0.0000     0.000     7.258     0.000     0.000    24.014     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.0000    n     1.000   359.857   360.168   360.169   361.418   361.418   362.276   0.124    0.24     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.038     0.000     0.000    32.570     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.0160    n     1.000   359.723   360.059   360.060   361.314   361.314   362.384   0.124    0.24     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.062     0.000     0.000    32.876     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.1000    n     1.000   358.505   359.051   359.053   361.184   361.184   362.186   0.151    0.33     0.000     1.000     0.000  0.0000  0.1161  0.0000     0.000     6.612     0.000     0.000    19.487     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.2000    n     1.000   358.194   358.739   358.740   362.059   362.059   362.080   0.132    0.27     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.560     0.000     0.000    27.057     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.3000    n     1.000   359.020   359.452   359.453   360.921   362.163   360.921   0.136    0.29     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.342     0.000     0.000    24.792     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.4000    n     1.000   359.094   359.496   359.497   361.385   362.240   361.385   0.135    0.29     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.400     0.000     0.000    25.380     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.5000    n     1.000   359.172   359.578   359.579   361.417   362.583   361.417   0.135    0.28     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.413     0.000     0.000    25.528     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.6000    n     1.000   359.309   359.784   359.785   362.296   363.097   362.296   0.145    0.31     0.000     1.000     0.000  0.0000  0.1201  0.0000     0.000     6.915     0.000     0.000    21.515     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.7000    n     1.000   361.199   361.664   361.664   362.782   362.908   362.782   0.133    0.28     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     7.525     0.000     0.000    26.711     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.8000    n     1.000   362.984   363.256   363.256   363.328   363.652   363.328   0.108    0.18     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     9.300     0.000     0.000    53.197     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    46.9000    n     1.000   362.748   363.091   363.092   363.703   363.886   363.703   0.113    0.20     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.813     0.000     0.000    42.876     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    47.0000    n     1.000   362.535   362.945   362.946   363.410   363.936   363.410   0.121    0.23     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.262     0.000     0.000    35.323     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    47.1000    n     1.000   362.399   362.832   362.833   363.730   364.023   363.730   0.120    0.23     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.331     0.000     0.000    36.245     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    47.2000    n     1.000   362.532   362.871   362.872   363.336   364.211   363.336   0.116    0.21     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.600     0.000     0.000    39.868     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    47.3000    n     1.000   362.510   362.910   362.911   363.741   364.359   363.741   0.114    0.20     0.000     1.000     0.000  0.0000  0.1250  0.0000     0.000     8.810     0.000     0.000    41.032     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.7200    n    21.000   362.033   364.020   364.029   364.363   365.007   364.363   0.423    1.32     0.000    21.000     0.000  0.0000  0.0591  0.0000     0.000    49.651     0.000     0.000    36.289     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.7400    n    21.000   362.033   364.073   364.082   364.574   365.126   364.574   0.438    1.40     0.000    21.000     0.000  0.0000  0.0584  0.0000     0.000    47.966     0.000     0.000    33.165     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.7450    n    21.000   362.033   364.164   364.174   365.191   365.191   365.296   0.438    1.44     0.000    21.000     0.000  0.0000  0.0600  0.0000     0.000    47.940     0.000     0.000    32.147     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.8000    n    21.000   362.035   364.203   364.213   364.709   365.384   364.709   0.456    1.49     0.000    21.000     0.000  0.0000  0.0575  0.0000     0.000    46.072     0.000     0.000    29.610     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    41.9000    n    21.000   361.044   363.442   363.452   364.463   364.463   364.732   0.457    1.57     0.000    21.000     0.000  0.0000  0.0603  0.0000     0.000    45.936     0.000     0.000    27.346     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.0000    n    21.000   360.049   362.412   362.424   363.856   363.856   364.906   0.483    1.61     0.000    21.000     0.000  0.0000  0.0551  0.0000     0.000    43.452     0.000     0.000    25.380     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.0350    n    21.000   359.952   361.770   361.780   362.451   362.451   365.193   0.438    1.37     0.000    21.000     0.000  0.0000  0.0571  0.0000     0.000    47.917     0.000     0.000    33.526     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.1000    n    21.000   360.558   362.880   362.890   363.307   363.307   365.565   0.446    1.58     0.000    21.000     0.000  0.0000  0.0633  0.0000     0.000    47.067     0.000     0.000    28.425     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.2000    n    21.000   360.444   362.387   362.396   363.506   363.506   365.656   0.428    1.45     0.000    21.000     0.000  0.0000  0.0636  0.0000     0.000    49.092     0.000     0.000    32.140     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.3000    n    21.000   359.807   361.886   361.896   363.758   366.310   363.758   0.439    1.42     0.000    21.000     0.000  0.0000  0.0590  0.0000     0.000    47.852     0.000     0.000    32.352     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.4000    n    21.000   361.276   363.450   363.460   363.241   366.743   363.241   0.428    1.49     0.000    20.993     0.007  0.0000  0.0649  0.1250     0.000    48.968     0.082     0.000    31.546     0.786  -999.999  -999.999  -999.999  -999.999  -999.999   1.00111   1.00244   0.00010
    42.5000    n    21.000   361.107   363.718   363.729   365.060   365.772   365.060   0.461    1.69     0.000    21.000     0.000  0.0000  0.0633  0.0000     0.000    45.511     0.000     0.000    25.607     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.6000    n    21.000   361.526   363.961   363.971   363.966   363.966   365.648   0.453    1.70     0.000    21.000     0.000  0.0000  0.0664  0.0000     0.000    46.396     0.000     0.000    25.344     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.7000    n    21.000   361.677   364.371   364.380   361.677   361.677   366.048   0.343    1.74     2.049    19.041     0.000  1.5143  0.0673  0.0000    19.437    41.860     0.000     8.815    20.474     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.24183   1.63195   0.00010
    42.8000    n    21.000   361.260   363.534   363.543   361.260   361.260   366.298   0.408    1.46     4.977    16.023     0.000  0.0540  0.0742  0.0000    11.105    40.322     0.000     7.789    24.518     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.01763   1.05136   0.00010
    42.8950    n    21.000   360.991   363.305   363.315   364.105   364.105   364.661   0.424    1.49     0.000    21.000     0.000  0.0000  0.0660  0.0000     0.000    49.478     0.000     0.000    32.057     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    42.9000    n    21.000   360.987   362.989   362.998   363.857   363.857   365.149   0.412    1.37     0.000    21.000     0.000  0.0000  0.0645  0.0000     0.000    50.924     0.000     0.000    35.868     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
    43.0000    n    21.000   360.667   362.979   362.989   363.886   366.059   363.886   0.444    1.51     0.000    21.000     0.000  0.0000  0.0612  0.0000     0.000    47.264     0.000     0.000    29.939     0.000  -999.999  -999.999  -999.999  -999.999  -999.999   1.00000   1.00000   0.00010
