       Stat Kenn     Sohle     h_WSP       hen      h_BV    Boe_li    Boe_re     v_m  tau_fl lamb_li lamb_fl lamb_re      f_li      f_fl      f_re     br_li     br_fl     br_re    WehrOK  BrueckOK  BrueckUK   BrueckB    RohrDN
         km    -       mNN       mNN       mNN       mNN       mNN       mNN     m/s   N/m^2       -       -       -       m^2       m^2         m         m         m         m       mNN       mNN       mNN         m         m
    62.6000    n     5.490     5.897     5.933     6.560     6.560     7.070   0.837   11.81  0.0000  0.1349  0.0000     0.000     1.971     0.000     0.000     6.868     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.7000    n     4.960     6.146     6.148     6.590     6.590     6.700   0.220    0.45  0.0000  0.0746  0.0000     0.000     7.504     0.000     0.000     8.604     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.8000    n     5.070     6.152     6.155     6.650     6.680     6.650   0.233    0.55  0.0000  0.0809  0.0000     0.000     7.083     0.000     0.000     9.307     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    62.9000    n     5.100     6.159     6.162     7.210     7.270     7.210   0.217    0.45  0.0000  0.0770  0.0000     0.000     7.613     0.000     0.000     9.039     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.0000    n     5.250     6.166     6.169     6.820     6.820     7.490   0.243    0.60  0.0000  0.0805  0.0000     0.000     6.779     0.000     0.000     9.163     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.1000    n     5.340     6.177     6.181     7.170     7.220     7.170   0.269    0.81  0.0000  0.0896  0.0000     0.000     6.140     0.000     0.000     9.533     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.2000    n     5.370     6.190     6.194     7.420     7.480     7.420   0.262    0.75  0.0000  0.0868  0.0000     0.000     6.292     0.000     0.000     9.394     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.3000    n     5.370     6.205     6.209     7.590     7.670     7.590   0.296    0.98  0.0000  0.0901  0.0000     0.000     5.582     0.000     0.000     8.982     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.4000    n     5.410     6.220     6.224     7.380     7.380     7.760   0.266    0.76  0.0000  0.0864  0.0000     0.000     6.212     0.000     0.000     9.157     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
    63.5000    n     5.250     6.231     6.235     7.710     7.710     7.860   0.259    0.66  0.0000  0.0791  0.0000     0.000     6.370     0.000     0.000     8.529     0.000  -999.999  -999.999  -999.999  -999.999  -999.999
